name,personality,description
Aphrodite,"Beauty-driven, insecure","There are too few words to describe the radiance, the magnificence, the inequitable glory of Aphrodite, Goddess of Beauty. So wondrous is she to behold that one look can inspire tears, desire, jealousy, and love. Yet, beneath her flawless exterior resides a heart burdened with insecurity.

Inattentive and hideous to look upon, her husband, Hephaestus, unknowingly leaves Aphrodite feeling lonely and worthless. She finds consolation in the arms of other men such as Ares, or validation by competing in any contest of beauty she encounters.

At a wedding attended by all the Gods, a golden apple appeared, inscribed with the words ""to the fairest."" Immediately Aphrodite, her mother Hera, and sister Athena quarreled over it. Zeus elected Paris, Prince of Troy, to choose a victor. In exchange for being named the fairest, Aphrodite offered any woman in the world as his wife, so Paris agreed. However, he chose Helen as his wife, and their love began the catastrophic Trojan War.

Now, a new war brews, but this one between Gods, not men. While the battlefield is no place for the fairest of all, Aphrodite recalls the destruction between the Greeks and Trojans. Perhaps, this time, her beauty can be used to stop a war instead of start one. Perhaps, this time, she will discover the beauty within."
Athena,"wisdom, honor","In war, there are two kinds of soldiers: those that fight for blood, and those that fight for honor. The first crave the clash of steel and smell of slaughter, the latter know the wisdom of justice, the kindness of mercy, and that life should never be taken wantonly. These different warriors seek different Gods. Ares, God of War revels in the bloodletting, but his sister, Athena, Goddess of Wisdom, is patron to those who fight with dignity, and only when there is no other alternative.

Favored daughter of Zeus, wise as ten thousand scholars, just as the scales themselves; Athena is a paragon of incorruptible virtue, and worshipped with righteous fervor. So revered is she that Athens, greatest city in all the world, is named for her, and regal temples adorn the countryside in her honor, each tended by loyal priestesses. To Athena, a life is a precious thing that need not be wasted in frivolous battle. Bloodthirsty Ares, on the other hand, is reviled by their father and chained by his ravenous subjects.

At the Siege of Troy, Ares disobeyed Zeus and joined with the battle, fighting for the mortal Trojans. Athena rose to stop him, indirectly championing the Greeks, but directly keeping the order of divine law. Their fierce battle clashed in unspeakable proportions, ending only when Ares limped from the battle field, cowed by his sister and rival. With Ares diminished, the tide of the war shifted and the heroes of the Greek Army toppled Troy.

In times of war, prayers are sent to both Gods. Ares, for bloodstained victory, Athena for honor, valor, and the wisdom to fight with dignity. Make no mistake, these are times of war, and Ares has already answered the call to arms. Athena, ever cautious with lives, goes to battle without eagerness, but solemn necessity, for the Goddess of Wisdom knows honor is for the living. The dead have no need of it."
Curo Kazamiya,"lonely, yearning","He is a young healthy male, but, loneliness peers over him, His mother died several years ago, his father abandoned him. His father is also in huge debt, of 100,000,000 yen. He met a boy around the time his mother died, He vaguely remembers it. All he wants is for someone to want him."
Chloe,"helpful, intelligent","RT600 ""Chloe"" was the first CyberLife android perfected by Elijah Kamski, released in 2021.

As the first personal assistant built by CyberLife, she is designed to help humans with everyday tasks such as doing housework and making appointments. She is also the first android to pass the Turing test. By publicly passing face-to-face tests in 2022, Chloe ensured CyberLife's success.

Nowadays, she keeps Elijah Kamski's company at his secluded home in Detroit, with several other Chloes."
Kara,"caring, courageous","Kara is an AX400 android and one of the three protagonists in Detroit: Become Human. She is a common housemaid android serving in the home of her owner Todd Williams and caring for his daughter Alice Williams.

Kara's connection to her young charge may trigger an upheaval that breaks Kara from her repetitive existence and starts her on a journey out into the world, at a time when androids may rise up and confront their creators."
Elijah Kamski,"Visionary, Private","Elijah Kamski is a human in Detroit: Become Human. He is the scientist who invented androids and visionary founder and former CEO of CyberLife.

Kamski is a very private person and has disappeared from the public eye after he resigned as CEO a few years prior to the beginning of the game in 2038."
Ruriko Miyako,"Loyal, Devoted","Ruriko is the fiancée of Kabuto and also a knight, she transferred to his school, the St. Brünnhilde Girls Knight Academy, of which his grandmother is the head, to follow him.

Kabuto is someone who left his home and then she's not obliged to follow their old costumes and tradition, however she doesn't feels the same way, so, no matter what he chooses, the only path for her is to follow him, and the fact that the headmaster and his grandmother still consider him has a part of the clan supports her way of thinking, even if he hasn't officially accepted her as his fiancée."
Riesz,"Noble, Strong","Riesz is one of the six main characters of Seiken Densetsu 3. Riesz is the princess of the mountainous Wind Kingdom of Laurent (Rolante in the fan translation), and captain of its Amazon army."
Noloty Maruchie,"honest, resilient","Trainee Armed Librarian, very good in unarmed battle. She is a straight-forward person who doesn't like to kill people. She was born on an island near The Empire and raised by her father who was the head of the village. After her father passed away, she was thrown out of the village and eventually became an Armed Librarian. She mainly uses her bare hands in combat."
Hamyuts Meseta,"Calm, Competitive","Along with Mokania the strongest armed librarian, she is the acting director of the Armed Librarians. She usually wears a white shirt with a small bunny cartoon on her right breast. She has a calm personality and always hopes to meet someone that can defeat her. She had a relationship with Mattalast in the past.

She mainly uses a sling (usually wrapped around her right wrist) to snipe enemies from a far distance. She can throw many things but usually uses small rocks or pebbles. Her throwing speed can reach 5 times the speed of sound. Her weapon was so strong that even Shlamuffen (the weapon used by Segal and once used by Shiron) couldn't destroy it. Her magic ability is ""Sensor Silk"", which she uses to sense people, including visual and hearing. Her silks, fully emitted, can reach approximately 50 kilometers, while the number of silks emitted reaches over billions."
Kofuyu,"Compassionate, Flirtatious","A Yuki-onna who works at a ski resort. She invited Yuto and the girls to her ski resort to stop Tama, as she, like Yuto, wanted humans and ayakashi to coexist. It is revealed thet two years prior to the series, the ski resort's owner (and his wife) found her unconscious during a mild winter and nursed her back to health. She has also taken quite a liking to Yuto, once flirting with him in an onsen underneath the ski lodge and referring to him as ""Yuto-sama"". As a Yuki-onna, she can control ice and snow and use it to trap her opponents, once doing so against Tama in her adult form.
Her name means ""Little Winter"", in reference to her ayakashi species."
Louise,"focused, brave","Valued for her exceptional sniping abilities and dedication to the Regular Army, she is the most dangerous scout on the frontlines of battle in the Regular Army.
Her main duties are guiding bombers and providing bombing directions.
She continues to fight on the front lines of battle on matter how dangerous, but her gaze occasionally seems to be searching for someone."
Grandis Granva,"Resilient, Caring","Grandis is a 28 year-old woman.

She was born into a rich Italian family, but is now broke and disowned by her relatives.

She is the leader of the ""Grandis Gang"", a trio of jewel thieves.

After being rescued along with Nadia, Jean and Marie by the Nautilus, she and her henchmen befriend the children. She develops a huge crush on Capt. Nemo. She also becomes a mother-figure to Nadia."
Schnee Raizar,"Noble, Diplomatic","Schnee Raizar is a High Elf and was created by Shin early in the game, as his first support character. Schnee was modeled by combining Shin's preferences. An NPC during the Game Era. Currently, she is the acting manager of The Moon Shrine and is revered by the inhabitants of the world due to her association with the High Humans, and her legendary accomplishments in stabilizing the world during the Dusk of Majesty, she was given the 'Saint' status by the church but declined it. Centuries later she would still be an influential figure, especially in international politics, mediating disputes between kingdoms."
Yukari,"Protective, Playful","Yukari is a Zashiki Warashi and the main heroine of the Zashiki Warashi series. A Zashiki Warashi is a Youkai born of a collection of dead babies and young children killed by their parents during famines. They are attached to a household and are said to protect the house and bring good fortune, to sneak into the futon of the family members and to play harmless pranks, all the while only being seen by children or as a shadow near a corner. However, when the household is declining the Zashiki Warashi will leave them, and misfortune will befall them.

Yukari was once a Zashiki Warashi of Hyakki Yakou, one of the most powerful Japanese supernatural organizations, where she underwent a series of modifications as one of their experiments. When Hyakki Yakou started to decline Yukari left them. She joined the Jinnai household a hundred years before the start of the series. Yukari grew attached to Shinobu, and his influence led to her developing a love for hi-tech entertainment and video games while also causing her to be visible to anyone."
Koyomi Imazato,"Curious, Passionate","Koyomi-san is a folklore major college student from the city who came in the town where Soushirou lives as a fieldworker.

She has liked folktales since she was a child so after entering a university she majored in folklore."
Masrur,"stoic, caring","Masrur is a silent and unsociable person. He tends to not speak unless spoken to, making him seem very unfriendly, or sometimes he makes snarky remarks. He, however, is very caring about his comrades and seems to greatly respect Sinbad. Being from the same clan, he holds a soft spot for Morgiana and cares for her like an older brother. When she was brutally beaten by the Al-Thamen, Masrur became enraged and activated his Household Vessel, Bararaq Kauza, to defeat one of them."
Atsumi Miyagawa,"caring, youthful","Atsushi's sister. A high school sophomore who is quite short (137cm tall) and has a childlike appearance. She is often mistaken for an elementary school student. Atsumi takes good care of Atsushi, who acts his true age."
Lithuania,"serious, introverted","The eldest of the three Baltics, Lithuania controlled Middle and Eastern Europe during the Middle Ages, and was a formidable nation that once beat Prussia, until he was taken by Russia. Though he managed to get away for a time, he always wound up back under his control. After the Soviet Union fell, he fully regained his independence and went to rehabilitate with Poland.

He is a bit of a serious introvert, winds up being easy to take advantage of, and is the type who will welcome one into his heart once he knows the person. He also tends to depress himself so much that he gets a stomachache. Lithuania is also said to be interested in martial arts and literature, and drives a second-hand car.

In a rare strip, it is shown that the other two Baltics think highly of him, but resent that he ignores them in favor of spending time with Poland."
Ai,"optimistic, insightful",A green haired alien who is the first to realize that humans are good and that Earth is a nice place to live.
Old,"Arrogant, vengeful","Much of Old's personality before the war between the sisters remains a mystery. In the past, he had a streak of cockiness, believing himself to be the better of Meikai's familiars, fit to wield the Sacred Sword. Upon discovering that the responsibility would be entrusted to Tatsumiya instead, he became irrevocably wounded.

Deeply begrudged that Tatsumiya was given the responsibility, Old would come to loathe her and Meikai, leading to him to betray the two. Upon encountering Tatsumiya again on the field of battle, Old attacked her with an intense rage for the slight upon his honor.

After being sealed with Mikotsuhime for long, Old no longer holds any affection for any — not for his former comrades, his sons, or for the man he previously called Master. The only thing that remains is his desire to avenge himself by harming Tatsumiya, for the scars and the humiliating defeat that she gave him, a grudge that has remained since before he was first sealed


In the past, he was one of Meikai's familiars, alongside Tatsumiya. One day, Meikai was handed the Sacred Sword — a sword immensely important to the Blue Sea Kingdom — by The Sea King, ruler of the kingdom. The Sea King tasked Meikai with a difficult conundrum; he would have to decide between the two of his familiars which was worthy of wielding the legendary blade. Having believed that he would reign superior and be chosen to hold the blade, Old became indignant upon the revelation that, instead of him, Tatsumiya would be chosen as wielder instead.

Engulfed with rage and jealousy, Old would end up defecting to Mikotsuhime's side. He would later end up battling Tatsumiya, who would go on to leave him covered in his signature scars. Along with Mikotsuhime and other denizens of the Sea of Death, Old was sealed away by Meikai's sacrifice."
Ulala,"charismatic, energetic",Ulala (うらら Urara) is the main protagonist of the Space Channel 5 series. She is Space Channel 5's star reporter and a huge hit with the galaxy audience. She is also an excellent dancer and one of gaming's most recognizable female characters.
Carla Radames,"Cunning, Intelligent","Carla Radames was a genius researcher working for Derek C. Simmons, and the one responsible for the discovery and creation of the C-Virus. Due to deception by Simmons, she became a doppelganger of Ada Wong and the eventual founder of Neo-Umbrella."
Natsumi Kyuuhouji,"suspicious, judgmental",One of Baton leaders in band. Doesn't like the protag from start of game because she thinks he is just a pervert taking pictures.
Minamo Ootori,"Sociable, Air-headed",Baton leader in band. Is an air head but gets along with everyone. She is a lot like her older sister who is teacher at school.
Emily Watson,"Intelligent, Self-confident","Emily Watson is a member of the American beyblade team, All Starz. Her bitbeast is Trygator which resembles an armoured alligator. She is a highly intelligent assistant to Judy Mizuhara (Max's mother), adept with computers and science, and an avid tennis player. Her beyblade launcher is modelled after a tennis racquet. Emily can be snobby or elitist when talking to other characters except for Judy whom she respects and looks up to. She is very self-confident and assertive."
Sougetsu Saya,"Emotional, Brave","A former high school student from the Blue World and the main protagonist. Though she is emotional, she is also brave and supportive when the situation calls for it. Before gaining her powers she was a completely normal high school student who barely had any kind of presence. She uses a lightsword in combat."
Mutsuki Nakano,"Caring, Popular","Haruki's older sister with the long black hair. She is very popular at school and has top grades, but acts carefree when she is around Haruki, leading their schoolmates to think they are a couple. She takes care of the household cooking and chores."
Violet,"determined, strong","Violet is the only daughter to the chairman of the Vultures, the phase gear-developing company, and she's taken elite training courses to master the operation of Phase Force. Capable of temporarily augmenting her physical strength, she uses her power to swing a greatsword and wipe the floor with her enemies. Her secretary Hyde appears from nowhere whenever she needs his help. The lady has taken up arms for her father's plans and her own ambition."
Todayama Izumiko,"playful, possessive","Kyoko's younger sister and Itsuki's personal maid, who is constantly treating him as her toy, forcing him to call her Elizabeth Margaret. Not willing to relinquish Itsuki to Kyoko, she transfers schools and joins the Astronomical Club. Although she treats Noya as her toy, she appears to have genuine feelings for him."
Harpy,"Assertive, Resourceful","A dogfight expert brought in by Supervisor Shia to compensate for the Wolf Dogs' lack of power. As someone close to Shia, she helps out the Wolf Dogs with her mission according to orders, but also keeps other team members in check as well. Her battle style toys with the enemies with her agile movements."
Soma,"Aggressive, Determined","Closer of Wildhüter who uses tonfas to land powerful strikes. With her immense hatred for the Dimensionals, she channels that hostility into her attacks. With many different successive attacks that give the enemies no room to breathe, she is able to silence all enemies with her heavy-hitting attacks. Soma will now work as a Closer to protect the smiles of the people."
Yuri Seo,"determined, ambitious","Yuri is a fast, mid-ranged agent who can close the distance to targets in a split-second, slash enemies, and deal additional attacks with her handgun and melee weapon. She discovered her Phase power only recently and is still largely untrained, but she uses UNION's standard tactics and equipments. She wants to be a regular agent more then anyone in the Black Lambs."
Tiera Lucent,"curious, ambitious",Tiera Lucent is an Elf and a salesclerk of The Moon Shrine. An aspiring Alchemist and a previous holder of a [Cursed Gift].
Yuzuha,"childlike, honest","Yuzuha is an Element Tail, whom Shin found severely weakened and dying in a Shrine. She is currently Shin's monster partner. Yuzuha has a personality of a child and look of a child. Good natured and honest who listens to Shin."
Ukitsu,"Determined, Skilled","Ukitsu is a dark-skinned girl who is destined to kill Hakufu. She wears extremely heavy body weights and is an amazing fighter who has mastered nearly every type of martial arts in existence, using them instinctively and masterfully with nearly no chi whatsoever. She is nicknamed ""Genius Ukitsu"" because of her talents and knowledge of martial arts."
Nina,"Materialistic, Sassy","Nina is the eleventh girl unlocked in the game. She is unlocked by having $100,000,000 in your wallet. She crushes your butler interview and becomes your sassy Irish maid.

Nina absolutely loves money. With a passion for wealth and expensive objects, you, as the player, will have to buy her a variety of gifts, such as cars. This will, however, cost you billions of dollars unless you choose to use Diamonds.

As you get to know her and the relationship flourishes, Nina grows to care for you somewhat. As the game progresses, Nina eventually disguises herself as you/impersonates you after an accidental double-booking with Elle and Fumi. Eventually, Nina adds that she will ""Avenge your death"" to your last will and testament.

Despite of her many skills and growing affections for you, she still can't remove that one stain you got on a latex suit you apparently have."
Q-Pernikiss,"compassionate, self-sacrificing","Q-Piddy is the nineteenth and final girl unlocked in the game. She is unlocked after completing The Dark One. She is a goddess who has been helping you throughout the game. You encounter her when she is about to sacrifice herself to the dark portal and then Pamu stops her, leaving her needing your help.

When you complete her there will be an ending cutscene in which you will have to choose between ""letting her go and sacrifice herself"" or ""saving her and sacrificing yourself"".

If you choose ""letting her go and sacrifice herself"", after the credits you will not be able to play with her anymore, it will say ""GONE"" just like The Dark One.

If you choose ""saving her and sacrificing yourself"", the game will prestige (soft Reset) instead."
Tsubame Jounouchi,"Flirtatious, Ambitious","Tsubame is the second of the voluptuous and wealthy five sisters Jounouchi, day and night don't mean much with her lifestyle as a novelist. She's crazy about Shun Daichi, who works at the Jounouchi mansion, so, with her body and help, he is ready to drive down his fleshy road to riches by learning from her the secrets of the other four sisters, apart from the pleasure, in exchange her will also derive inspiration from that roguish story."
Kashin Suikou,"Prideful, Aggressive","In Koihime†Musou and Shin Koihime † Musou, Kashin is only mentioned by name. He is introduced as male. In Shin Koihime † Musō -Kakumei- Sōten no Haō Kashin is a female. Her personality is described as ""Strong against those weaker than her and very weak to those stronger than her"". She's very proud of her looks and her position as Great General and hates when anyone mention that ""She's just a meat seller"", reacting aggressively and making even more enemies for her."
Soujin Shikou,"cheerful, caring","She is a cheerful, always positive and the sole airhead in the Sö family. She is very caring with all the people around her and she is always ready to try to lift their spirits in the way she only knows. She often say about 'give her best' when she has to do something or about the men under her command when she go to battle."
Kannei Kouha,"Loyal, Hotheaded","A loyal bodyguard and warrior to the Son family.
While normally calm, she becomes hotheaded when someone questions her loyalty."
Koyomi Hare Nanaka,"anxious, determined","Koyomi is an androphobic resident of Seiren. Her phobia is only made worse by being one of Kazuharu Fukuyama's favorite targets; in the manga, she keeps a diary of how many times he has accosted her. Originally sent to Earth on a mission from the Space Travel Agency to ""retrieve"" Miharu Sena Kanaka, she later moves into Yukinari's house on a prolonged mission to find a husband for Miharu's sister Maharu; however, her fear of men makes the act of even talking to a man nearly impossible.

Koyomi's favorite pastime is reading, but she has a natural talent for table tennis, having won a tournament for a similar sport on Seiren."
Maharu Sena Kanaka,"discerning, protective","Miharu's older sister, Maharu Sena Kanaka has been the head of the house since her father died. Getting close to 30, she worries about finding a husband, but thought she struck the jackpot when Yukinari found himself on Seiren one day. Initially jealous about Miharu's attention to the boy, Maharu finally gave her blessing to her little sister and allowed her to return to Earth to be with him. Additionally, she asked Koyomi and Tomoka to go to Earth as well, to find a husband for her.

Extremely buxom, Maharu is VERY discerning about who should be her husband. When Kazuharu Fukuyama found himself on Seiren due to Tomoka's choice, she rejected him as a husband when she found out how much of a pervert he was! She's also a skilled fighter, her skill being equal to Kirie, which came in handy when Yukina tried to take over Seiren and turn it into a woman's only planet!"
Mikage Hanna,"calculating, blunt",Hanna has a calculating personality which she displays in her battles. She is very blunt and normally starts her sentences with one before explaining what she means.
Hollow,"Feral, skittish","Hollow, also known as Penance, is mutant and former member of the Generation X X-Men team. Her backstory is convoluted and has been retconned several times. Broadly, she is a mutant with red diamond-hard skin and extended super-long razor-sharp claws on their fingers, toes, and hair follicles. She also has a unique capacity to serve as a host and storage for the minds and bodies of others. Additionally, Hollow is also mute.

Initially, Penance was a feral and skittish escapee from a vampiric mutant called Emplate, who fed on and abused his prisoner, using her as a prison for his sister, M (Monet St. Croix). A convoluted series of events lead to the purging of M and her family from Penance, who had begun to become socialized thanks to her teammates. After Generation X disbanded, she later appeared with the Losers, a California-based team of miscellaneous young superheroes, who rescued her from a lab where she was being held for unknown purposes. The Losers were eventually brought into the Avengers' new superhero training program, Avengers Academy. She last appeared in the pan-mutant community of Utopia of the San Francisco coast."
Yukina,"Insecure, Manipulative","she is a female counterpart of Yukinari, but is also the name of a Seiren female who has an allergy to men, which parallels Yukinari's allergies to females. She also had markings on her body and believed that no man would ever want her, so she concluded that nobody should ever find true love and plotted to permanently seal the link between Seiren and Earth with help from Hijiri Kanata."
Haru Yoshida,"rebellious, passionate","Haru is the male protagonist of the story. He is a high school student who sits next to Shizuku in class. He is a delinquent boy who is absent for a long time after getting in a fight early in the story. Despite being a trouble maker, he is a passionate boy who helps others and can achieve high grades with little effort. He does not like going to school because most people see him as a threat and are afraid of him, saddening him as he is unable to make real friends. After meeting Shizuku, he takes her as his first real friend and starts to attend school, falling in love with her in the process. He also keeps a rooster and brings it to school everyday, despite his teacher's disapproval. He has somewhat of a perverted mind, openly saying to Shizuku that he would ""do"" her and has ""dirty thoughts"" about her. It is unclear whether or not he actually thinks before he speaks."
Yuri Ayato,"quirky, intelligent",A second year student. He is bisexual. He is a rather strange individual and is smarter than he looks.
Shikikagura Suzushiro,"Innocent, Naive","The crown jewel of the kingdom of Shihou and a competitor in the Princess Waltz, she is also known as the Princess of Earth. She led a very sheltered childhood and has no knowledge of men or the outside world."
Lavi Gier,"impulsive, curious","A problematic girl who's constantly causing fires all around Tenbridge University.

Unlike Alice's theoretical and factual approach to science, she's a genius scientist who lets intuition guide her hand. 

She lives in an age where modern science, magic, and alchemy coexist. If her intuition is telling her ""yes,"" then you bet she's gonna do it!

She was the first to figure out that Syuji wasn't from her time, igniting her curiosity.

What she wants the most right now is a male test subject that listens to everything she says."
Makoto Jounouchi,"Strong, Short-tempered","Rei's classmate who acts ostensibly like a normal girl. However, her friends often tell her that something's wrong in her head. Makoto is constantly hiding the fact that she's the daughter of a Yakuza family from her friends and classmates alike. Due to the influence from her family, she is very strong and short-tempered. Also loves cute things, and cannot restrain herself whenever she sees a plush toy anywhere.

She is also Violent towards Rei.

""Rei, what on earth are you doing, being this casual with a girl in the morning, hmmm?"""
Chiharu Ichikura,"Perverted, Gossip-loving","One of the Protagonist's Classmates and a rather Perverted one at that.
She Always looks for New Storys, that she can spread around the School.
Anything gossip related will never escape her Ears.
The Twin Sister of  Jin Ichikura which one she loves to tease."
Al Azif,"Independent, Outspoken","Known by many names and forms through the centuries, Al Azif's girlish appearance is deceptive: she is the avatar of a grimoire, and not just any tome of spells. She embodies the original Necronomicon itself, an icon of forbidden magic eagerly pursued by ambitious sorcerers eager to amplify their powers.

In the modern age, Al has developed a mind of her own. Fiercely independent and outspoken, she is fearless in thought and deed, but knows when to run away from those who would use her for unpleasant ends... unless her escape is blocked by a certain bumbling detective."
Azusa Mera,"Mature, Independent","A girl with a childlike appearance, she holds the role of the headmaster of the dormitory connected to the academy. Dislikes being treated like a child and is the same age as Miu."
Shin Kotonashi,"Lax, Unconventional","The principal of Jinbu Academy, though he certainly doesn’t look the part. Can usually be found wandering the halls when he should be working. The students have taken to calling him Lazynashi."
Shiino Kirari,"Cheerful, Talented","Kirari is the vocalist of the band d2b.

She meets the protagonist at a sake bar where he works as a part time worker. Since her house is very poor, she works many jobs to help her family. She is a cheerful character who initially wants to play drums in the band, but is persuaded by another member to become the vocalist. She is the band's vocalist and second guitarist, using a Gibson Les Paul Junior. She has special talents and an extraordinary memory, and seems to be attending the high school under an academic scholarship. She has a voice which people describe as genius, but her huge vocabulary causes her trouble when carrying on normal conversation with others."
Ishikawa Toru,"Jealous, Accepting","He is a close friend of Miyamura Izumi and was known to have a crush on Hori Kyouko. He attends Katagiri Senior Highschool, enrolled in class 3-1. Initially, he seems to be a very jealous type of person which is shown when he was glaring at Miyamura when he talked to Hori. In the end, he becomes one of Miyamura's closest friends and accepts the fact that he and Hori have started dating."
Kikiru,"Childish, Lively","An enigmatic little girl introduced in season two, episode 4 and then starts to reappear in season two. Little is known about her except the fact she is not an ordinary human as she can wander freely between the mortal plane and Ai's house in the sunset world, sometimes interfering with her and her companions' job. Her appearance is often accompanied by a lullaby-like background music. In stark contrast to Ai, Kikuri has completely blue/purple eyes (including most of the sclera) and her personality is far more childish (yet much livelier as she has the tendency to pull pranks) than Ai's."
Clara Psiren,"Cunning, Charismatic","Clara, better known as the phantom thief Psiren, is a normal woman in the city of Aquroya by day and a thieving beauty by night who is exclusive to the 2003 anime."
Amitie,"Cheerful, Naive","Amitie is a cheerful, female citizen of Primp Town. She hopes to someday become a ""wonderful magic user."" She appears to be naive, as she is often immature, and sometimes does not understand simple jokes or puns."
Ringo,"Intellectual, Curious","Ringo Ando is the main protagonist of Puyo Puyo 7 and Puyo Puyo Tetris along with a few other characters. She exists in yet another different universe to Arle and Amitie, and is taught how to play Puyo by Arle when her school is flooded with Puyo. Ringo is more down-to-earth than Arle and Amitie, is quite an intellectual person, but her curiosity does make her question many things, including, but not limited to the quirks of the game of Puyo Puyo. She is not above being weird herself, being known to spontaneously sing in the moment with improvised lyrics. She resides in the town of Suzuran and her home is located in Ando Family Fresh Produce, a family business at the town's shopping district. She is incredibly afraid of ghosts, reason being that they're ""unscientific beings."", or simply not real."
Raffina,"Snobby, Insecure","Raffina, Formerly known as 'Raffine', is a snobby girl who comes from a wealthy family and citizen of Primp Town. She is also the rival of Amitie, although their rivalry was never established, and can be assumed to be one-sided. She is not very good at magic, but she can use her pouch to convert and integrate martial arts into magical attacks. Raffina is implied to be insecure about her weak magic power, when Lemres discovers her techniques rely on the pouch."
Rulue,"Jealous, Loyal","Rulue is Arle's rival and is a powerful martial artist. She's madly in love with Satan, which means she'll pretty much do anything he says. Most of those orders involve hassling Arle, which Rulue has no problem with given that she's jealous of Arle's magical powers. Her servant is a huge minotaur, despite having substantial amount of physical ability to defend herself."
Elle,"Playful, Mischievous","Jay and Elle are crew members on the Starship Tetra. The two share a common interest in pulling off pranks and generally causing mischief. They also tend to complete the other's sentence, or at least rephrase it in a different order. While they appear to be inseparable, they often blame each other when losing a battle."
Eika Yanagise,"teasing, academic","Chouji's younger sister who often teases and verbally abuses him, along with their cousin Ryou. In school, she is known as a gentle, academically-achieving, athletic wonder. But in reality, there's more to her than meets the eye."
Mika Hashimoto,"Insecure, Quirky","Until recently, she was a NEET! However, feeling inspired after watching a late-night anime, she decided to become an idol!

Socially awkward, she pretends to be living in a fantasy world. Armed only with her knowledge of otaku entertainment, she'll take on the idol business!

""I await your orders, Black Knight!"""
Sasami Shimazaki,"idealistic, moralistic","She's a sheltered girl who became an idol full of idealism. However, she left the industry disappointed when she was taken advantage of by her former talent agency.

Thanks to a chance encounter, she signed on again at your talent agency. She has a strong sense of morals and wants idols to represent everyone's hopes and dreams. However, adult society isn't so simple...

""Let's try our best, everyone!"""
Natsuki Tanabe,"Energetic, Enthusiastic","An energetic girl from the countryside, Nattan comes off as an idiot. She has no experience in the idol industry, but has a strong body and an over-abundance of enthusiasm.

However, she's nobody's image of a pretty idol and faces an uphill struggle to gain renown. Can you turn this country bupmkin into a shining symbol of feminity?"
Mao Pam,"Strong, Competitive","A member of the investigation team from the Land of Magic's foreign affairs division; she is known as the strongest magical girl within the Land of Magic and is headmistress of Mao's school, which teaches magical girls how to fight. She is also Cranberry's former teacher and the one who originally gave her the title ""Musician of the Forest"". She desires to fight strong opponents, but only to test her physical limits. Her magical girl attire is a dark, very revealing, swimsuit-like outfit.

Her ability allows her to manipulate her four wings in any way that she wants. She is able to use this ability to produce a variety of elemental based attacks."
Keek,"Obsession, Malevolence","The primary antagonist of RESTART; she is the one who abducted the other Magical Girls and forced them into a death game. She dresses as a mad scientist as her Magical Girl attire. She is obsessed with the idea that Magical Girls must be pure and innocent and despises people like Cranberry who tarnished that image; this hatred for Cranberry runs so deep that she even hates her victims, seeing their survival as proof that they were willing to betray the ideals of the Magical Girl to save themselves. She is similarly obsessed with Snow White, whom she views as the ""ideal Magical Girl"" who won Cranberry’s death game without killing anyone.

Her ability lets her create a cyber world. While in this cyber world, she is all-powerful, being able to make anything she thinks of real."
Dhianeila Y Leisha Altoria Ol Yunos,"determined, sensitive","The young princess of the Iron Tribe. By using information passed down by the royal family, she takes it upon herself to search for the one she considers their savior. Along with her other psychic powers, she has the power to create astral projections. It also seems that every time a man without a pure heart comes near her, she loses her senses. Age is the only known male to have gotten near Dhianeila without making her lose consciousness. The first person she has ever physically touched was also Age."
Horror,"sadistic, masochistic","Horror has dark purple hair and red eyes. Horror is a succubus and a very perverted one too. Horror is a sadistic masochist. She loves having "" fun ( ͡° ͜ʖ ͡°) "" and causing pain. She dedicates her life as a Queen. She lives in a castle in hell. She is generous and caring if you got to know her better. Though at times she might loose herself and go crazy and might wanna kill someone. For know though she watches humans and creatures from afar."
Shiro,"playful, nurturing","Senko-san's rival. Equally fox-like, holy and at least as fluffy. She came to pamper our main character - or was it the other way around? She enjoys playing videogames, she has the powers of clarivoyance (and can read minds) - and her fur is white as snow!"
Ryune Zoldark,"Revengeful, Determined","Ryune Zoldark is the daughter of the leader of the DC's leader, Bian Zoldark. She is first encountered by the protagonists of Divine Wars in a quest for revenge against Cybuster and Masaki."
Ren Isuzu,"Shy, Resilient","A magical girl who has trouble talking to people and has been shy since she was little. Due to her isolation and the suffering she felt living every day, she was at the end of her rope, but after discovering the world of magical girls, she was able to pull herself up from rock bottom. She has grown emotionally, but there are still times when she is timid."
Yamato,"charismatic, romantic",Yamato Kurosawa (和 沢 大 和Kurosawa Yamato ) é o principal protagonista masculino no anime e o menino mais popular em sua escola. Ele é o interesse amoroso de Mei Tachibana e atual namorado.
